pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,pro10
0.0670222148710213,0.0340083410095433,0.0212362515307455,0.0419086623115847,0.089367397148803,0.0879688122984476,0.0754051986033915,0.0237185970601277,0.0551341708483253,0.027008619743415927
0.132944171239739,0.0513556361334971,0.076882065580579,0.0991738619877248,0.1037555320370837,0.1087906728195997,0.0793361105731169,0.0345366364816484,0.0923214636618658,0.07566558326117494
0.111661368688507,0.0814712831196765,0.1585426840352548,0.1275514201815262,0.076201421016074,0.1366187991749634,0.161333739672318,0.112405001613584,0.1312435442949279,0.11444990082734384
0.116967392289666,0.137954555942133,0.1404702814255201,0.1152843531364149,0.1935184058747328,0.2008754672320147,0.2018431132978913,0.0896050757263094,0.2253249683104194,0.08217804228041833
0.0983078890798971,0.1777485639287963,0.1493500845079758,0.1246523020463402,0.2233542512494159,0.2545831997058843,0.1808347331383952,0.1227071530800064,0.2630752018604291,0.1693519627175927
0.1185626919561104,0.1743705797134125,0.2648279024104932,0.0924897718724821,0.0936935765870292,0.1800861074074107,0.134417787548027,0.1349851417254544,0.2066157753763524,0.2534899453248581
0.1065903748429079,0.171854805145535,0.2647447425507703,0.2591307316303065,0.1223048858190962,0.1516180527518467,0.34062622831659,0.1244906216160883,0.0932478489981454,0.1909961913707699
0.085705158854881,0.4072295667718864,0.3135299734814296,0.4139630965064036,0.2553171338039234,0.1024230746405406,0.2842359408114173,0.1451040847620262,0.0966363822760761,0.17391341069883046
0.3523701559959351,0.341067101650134,0.2152840851961803,0.3969472424198406,0.195992722510026,0.0828098085883508,0.2615372454376298,0.2199539061159579,0.1083628801631819,0.23742385022001877
0.5736124404997549,0.4688412907745822,0.4266818383959211,0.5744605931323242,0.1646780525969732,0.1849840032463251,0.4006932584194939,0.2551979507387555,0.1672608947059209,0.1734111185123271
0.6037518415426367,0.3149720982841883,0.3507554642342637,0.5998340433086605,0.1492002591680369,0.4947700623903178,0.1707379059511835,0.4203302947866242,0.3635696566701206,0.31046844067457463
0.3018142697468317,0.3019615865379154,0.2952303326753109,0.5811908355014809,0.1771205420593217,0.3100075562947907,0.1590775573311223,0.2546778552751726,0.6529204952565976,0.2601565215947359
0.5326831165131826,0.2855018201844912,0.4959294584358308,0.3552013683470268,0.1702721286117219,0.5516408638345525,0.1676358072914254,0.3967324642799478,0.6262257141812401,0.3895235082832443
0.6709502114895678,0.2739585999723363,0.3209980454789516,0.3275339136973957,0.1926893029509606,0.3153773183692412,0.4516988753298223,0.2582529158944032,0.2329586494550131,0.3015353645567584
0.6200872817543855,0.2914788201703837,0.3974073487404114,0.3773835993635065,0.3555865370373935,0.3133743316966383,0.3094164021787832,0.3680216193382804,0.2153697913286744,0.26632295285707436
0.7009752168520711,0.3697420918824903,0.517151664876496,0.606728124079577,0.2856757139187969,0.3695805080420123,0.4974651076668987,0.3375142817116741,0.1936910521945102,0.409382488291209
